,count,mean,std,min,25%,50%,75%,max
gameId,7903.0,4500003257.168,27365947.191,4295358071.0,4482322036.0,4510743297.0,4521693140.0,4527990640.0
blueWins,7903.0,0.499,0.5,0.0,0.0,0.0,1.0,1.0
blueWardsPlaced,7903.0,22.39,18.172,5.0,14.0,16.0,20.0,250.0
blueWardsDestroyed,7903.0,2.849,2.181,0.0,1.0,3.0,4.0,25.0
blueFirstBlood,7903.0,0.505,0.5,0.0,0.0,1.0,1.0,1.0
blueKills,7903.0,6.178,3.007,0.0,4.0,6.0,8.0,22.0
blueDeaths,7903.0,6.14,2.913,0.0,4.0,6.0,8.0,19.0
blueAssists,7903.0,6.637,4.063,0.0,4.0,6.0,9.0,29.0
blueEliteMonsters,7903.0,0.55,0.625,0.0,0.0,0.0,1.0,2.0
blueDragons,7903.0,0.362,0.481,0.0,0.0,0.0,1.0,1.0
blueHeralds,7903.0,0.187,0.39,0.0,0.0,0.0,0.0,1.0
blueTowersDestroyed,7903.0,0.052,0.248,0.0,0.0,0.0,0.0,4.0
blueTotalGold,7903.0,16500.307,1530.688,12292.0,15404.0,16396.0,17441.0,23701.0
blueAvgLevel,7903.0,6.916,0.301,5.2,6.8,7.0,7.2,8.0
blueTotalExperience,7903.0,17927.074,1191.997,11286.0,17162.0,17938.0,18718.0,22224.0
blueTotalMinionsKilled,7903.0,216.689,21.776,90.0,202.0,218.0,232.0,283.0
blueTotalJungleMinionsKilled,7903.0,50.462,9.909,0.0,44.0,50.0,56.0,88.0
blueGoldDiff,7903.0,7.675,2430.921,-10329.0,-1579.5,24.0,1563.5,11467.0
blueExperienceDiff,7903.0,-42.07,1908.281,-8531.0,-1311.0,-42.0,1205.0,8348.0
blueCSPerMin,7903.0,21.669,2.178,9.0,20.2,21.8,23.2,28.3
blueGoldPerMin,7903.0,1650.031,153.069,1229.2,1540.4,1639.6,1744.1,2370.1
redWardsPlaced,7903.0,22.491,18.473,6.0,14.0,17.0,20.0,276.0
redWardsDestroyed,7903.0,2.735,2.161,0.0,1.0,2.0,4.0,24.0
redFirstBlood,7903.0,0.495,0.5,0.0,0.0,0.0,1.0,1.0
redKills,7903.0,6.14,2.913,0.0,4.0,6.0,8.0,19.0
redDeaths,7903.0,6.178,3.007,0.0,4.0,6.0,8.0,22.0
redAssists,7903.0,6.666,4.049,0.0,4.0,6.0,9.0,26.0
redEliteMonsters,7903.0,0.568,0.624,0.0,0.0,0.0,1.0,2.0
redDragons,7903.0,0.41,0.492,0.0,0.0,0.0,1.0,1.0
redHeralds,7903.0,0.158,0.364,0.0,0.0,0.0,0.0,1.0
redTowersDestroyed,7903.0,0.045,0.223,0.0,0.0,0.0,0.0,2.0
redTotalGold,7903.0,16492.632,1479.632,11212.0,15442.0,16378.0,17424.5,22732.0
redAvgLevel,7903.0,6.927,0.304,4.8,6.8,7.0,7.2,8.0
redTotalExperience,7903.0,17969.144,1194.491,10465.0,17228.0,17986.0,18768.0,21967.0
redTotalMinionsKilled,7903.0,217.401,21.843,107.0,203.0,218.0,233.0,289.0
redTotalJungleMinionsKilled,7903.0,51.301,10.045,4.0,44.0,51.0,57.0,92.0
redGoldDiff,7903.0,-7.675,2430.921,-11467.0,-1563.5,-24.0,1579.5,10329.0
redExperienceDiff,7903.0,42.07,1908.281,-8348.0,-1205.0,42.0,1311.0,8531.0
redCSPerMin,7903.0,21.74,2.184,10.7,20.3,21.8,23.3,28.9
redGoldPerMin,7903.0,1649.263,147.963,1121.2,1544.2,1637.8,1742.45,2273.2
